customer_id,age,gender,country,signup_date,last_login_days,total_orders,avg_order_value,support_tickets,payment_issues,loyalty_points,email_open_rate,sms_click_rate,promotion_usage,last_purchase_date,days_since_last_purchase,churn
18,39,M,Chile,2023-10-09 06:14:31,18,2,14.13,1,1,4357,0.307,0.15,0.207,2026-03-24 06:14:31,0,0
19,19,F,Colombia,2023-07-13 12:46:46,44,4,80.99,0,1,1211,0.478,0.121,0.553,2028-02-09 12:46:46,0,0
20,41,F,Guatemala,2022-05-11 14:58:33,2,4,93.82,0,0,2031,0.161,0.289,0.212,2027-03-28 14:58:33,0,0
21,61,M,Chile,2021-10-02 01:51:09,46,6,88.06,0,0,4244,0.462,0.253,0.355,2025-12-15 01:51:09,0,0
22,47,F,Guatemala,2020-10-28 06:23:19,3,10,91.93,0,0,328,0.126,0.155,0.162,2021-10-28 06:23:19,1482,0
23,55,M,México,2021-07-08 18:14:07,6,6,37.89,0,0,764,0.251,0.032,0.24,2023-04-28 18:14:07,935,0
24,19,F,Colombia,2021-12-24 10:43:58,21,7,73.9,1,0,3644,0.287,0.198,0.508,2022-03-16 10:43:58,1343,0
25,38,F,México,2022-01-24 09:31:09,18,4,85.57,0,1,1849,0.199,0.211,0.375,2024-08-14 09:31:09,461,0
26,50,M,México,2023-03-01 08:50:02,134,7,57.32,1,0,272,0.372,0.23,0.557,2025-07-06 08:50:02,135,0
27,29,F,Guatemala,2021-08-01 20:47:31,26,4,45.96,0,0,3303,0.225,0.166,0.333,2026-06-27 20:47:31,0,0
28,39,F,México,2020-01-28 07:41:05,11,6,15.69,0,0,4231,0.425,0.124,0.024,2022-05-31 07:41:05,1267,0
29,61,F,Chile,2021-02-17 20:45:34,69,9,106.18,1,0,4546,0.371,0.133,0.413,2022-10-01 20:45:34,1144,1
30,42,F,Perú,2019-02-09 04:19:51,11,4,22.94,0,0,4731,0.195,0.382,0.246,2020-10-29 04:19:51,1846,0
31,66,F,México,2019-05-26 02:35:39,9,4,84.51,0,0,4704,0.117,0.059,0.228,2022-06-19 02:35:39,1248,0
32,44,F,México,2022-11-16 07:29:56,20,2,31.66,0,0,3457,0.139,0.255,0.67,2023-01-23 07:29:56,1030,1
33,59,F,Chile,2019-01-28 22:11:52,73,6,76.4,0,1,1094,0.205,0.224,0.308,2021-11-01 22:11:52,1477,1
34,45,F,Perú,2019-05-17 09:01:59,36,3,29.54,0,0,1108,0.315,0.112,0.202,2022-08-18 09:01:59,1188,0
35,33,M,México,2021-03-22 23:11:27,33,1,52.82,1,0,3325,0.319,0.1,0.34,2023-07-20 23:11:27,851,0
36,32,M,México,2023-04-29 10:26:24,38,4,64.34,0,0,2660,0.428,0.456,0.562,2023-08-31 10:26:24,810,0
37,64,F,Chile,2020-10-24 02:40:40,32,4,64.12,1,0,3311,0.193,0.37,0.338,2024-04-05 02:40:40,592,0
38,68,F,Colombia,2021-08-16 10:42:52,42,9,12.98,1,1,458,0.108,0.03,0.239,2024-10-25 10:42:52,389,0
39,61,M,Guatemala,2019-08-27 21:15:41,6,3,28.0,0,0,3747,0.49,0.396,0.744,2022-11-14 21:15:41,1099,0
40,69,F,Colombia,2023-08-29 08:42:48,5,6,36.91,0,0,2166,0.191,0.159,0.428,2027-12-08 08:42:48,0,0
41,20,M,Guatemala,2022-01-24 10:12:08,13,6,65.39,0,0,845,0.287,0.124,0.393,2025-06-28 10:12:08,143,0
42,54,M,Colombia,2019-01-11 10:07:21,57,2,77.65,0,0,2946,0.23,0.086,0.234,2020-01-14 10:07:21,2135,0
43,68,M,Colombia,2021-02-21 08:15:43,37,1,29.52,1,0,3377,0.223,0.34,0.613,2022-11-25 08:15:43,1089,0
44,24,F,Perú,2023-05-09 22:15:14,25,7,42.42,1,0,1658,0.455,0.119,0.661,2027-01-13 22:15:14,0,0
45,38,F,México,2021-03-30 09:05:34,0,5,5.0,1,0,4259,0.123,0.121,0.131,2023-05-15 09:05:34,918,0
46,26,F,México,2020-01-17 08:58:19,8,5,39.4,0,0,3213,0.089,0.393,0.653,2020-05-21 08:58:19,2007,0
47,56,M,Guatemala,2020-01-01 02:09:05,48,10,75.81,1,0,2293,0.714,0.02,0.423,2022-11-03 02:09:05,1111,0
48,35,M,Perú,2021-01-03 18:24:49,8,8,60.03,0,0,4314,0.139,0.211,0.275,2025-04-06 18:24:49,226,0
49,21,M,Guatemala,2022-11-19 10:31:45,39,5,25.38,0,0,4256,0.224,0.136,0.833,2026-07-21 10:31:45,0,0
50,42,F,México,2019-04-24 02:43:27,6,4,56.86,0,0,2485,0.317,0.182,0.589,2019-10-05 02:43:27,2236,0
51,31,M,Guatemala,2023-08-15 23:34:52,27,3,22.51,0,0,4901,0.472,0.101,0.337,2024-05-15 23:34:52,551,0
52,67,M,Chile,2020-06-17 00:48:10,29,4,30.6,1,0,2754,0.4,0.158,0.053,2022-07-15 00:48:10,1222,0
53,26,F,México,2022-03-30 04:11:18,41,6,87.22,0,0,3482,0.154,0.024,0.786,2025-04-03 04:11:18,229,0
54,43,M,México,2020-06-06 00:22:57,17,4,50.37,0,0,4195,0.444,0.175,0.767,2020-10-04 00:22:57,1871,0
55,19,M,México,2022-02-04 18:09:56,30,3,48.19,1,0,3103,0.311,0.012,0.569,2025-06-03 18:09:56,168,0
56,37,F,Perú,2021-02-04 06:11:50,20,6,63.73,0,0,4952,0.734,0.159,0.408,2024-01-11 06:11:50,677,0
57,45,F,Colombia,2022-09-22 01:32:56,88,5,64.22,0,0,935,0.159,0.213,0.009,2026-10-20 01:32:56,0,0
58,64,M,Chile,2020-07-14 04:58:15,22,3,59.08,0,0,4910,0.299,0.147,0.215,2021-12-08 04:58:15,1441,0
59,24,F,Perú,2022-07-09 11:21:12,7,5,72.04,0,0,317,0.497,0.167,0.222,2025-07-02 11:21:12,139,0
60,61,M,Perú,2020-07-25 21:44:54,33,1,5.0,1,0,3593,0.171,0.063,0.768,2025-04-02 21:44:54,229,0
61,25,F,México,2021-02-26 15:02:04,23,3,56.92,0,0,1840,0.228,0.36,0.381,2022-06-18 15:02:04,1249,0
62,64,M,Perú,2019-06-25 16:35:22,48,4,75.41,0,0,4349,0.292,0.096,0.234,2024-03-24 16:35:22,604,0
63,52,F,Guatemala,2022-08-23 09:32:32,5,7,59.85,3,0,3919,0.107,0.206,0.556,2023-05-18 09:32:32,915,0
64,31,M,México,2020-03-23 12:51:15,9,3,18.93,1,0,3175,0.245,0.215,0.304,2021-05-02 12:51:15,1661,0
65,34,F,Perú,2022-06-21 03:21:07,76,4,56.44,0,0,698,0.196,0.051,0.105,2026-01-29 03:21:07,0,0
66,53,F,México,2019-10-27 08:34:29,79,7,61.85,1,0,2909,0.015,0.001,0.395,2020-11-16 08:34:29,1828,0
67,67,F,México,2020-11-10 15:04:42,17,6,44.37,1,0,60,0.305,0.155,0.32,2023-06-16 15:04:42,886,0
68,57,F,México,2019-04-19 05:29:56,1,4,73.96,0,0,346,0.137,0.116,0.281,2023-07-03 05:29:56,869,0
69,21,F,Colombia,2023-05-21 15:21:28,10,2,29.75,0,0,1132,0.291,0.209,0.727,2028-01-26 15:21:28,0,0
70,19,F,México,2021-01-15 01:14:16,8,6,46.42,0,0,2459,0.405,0.216,0.174,2025-01-06 01:14:16,316,0
71,23,F,Chile,2023-04-17 03:38:17,16,7,78.92,0,0,671,0.412,0.023,0.346,2027-11-02 03:38:17,0,0
72,59,M,Perú,2023-01-24 04:08:22,11,3,37.73,0,0,3125,0.09,0.24,0.405,2025-12-02 04:08:22,0,0
73,21,M,Colombia,2022-04-18 08:47:29,52,4,39.78,0,0,4866,0.562,0.259,0.508,2025-12-04 08:47:29,0,0
74,46,F,Guatemala,2019-03-16 22:20:56,0,3,25.89,0,0,3538,0.214,0.334,0.689,2020-11-09 22:20:56,1834,1
75,35,F,Perú,2020-07-05 23:57:00,31,8,35.57,1,0,2768,0.559,0.108,0.272,2022-08-11 23:57:00,1194,1
76,43,M,México,2021-09-29 08:14:51,32,3,40.45,0,0,1695,0.541,0.1,0.317,2025-09-03 08:14:51,76,0
77,61,M,Guatemala,2019-07-13 00:33:00,32,7,48.39,0,0,4574,0.262,0.252,0.278,2019-08-31 00:33:00,2271,0
78,51,F,Guatemala,2019-04-04 02:37:45,22,7,61.5,0,0,4461,0.24,0.044,0.418,2019-07-02 02:37:45,2331,0
79,27,M,Colombia,2021-05-04 07:45:38,28,4,83.21,0,0,952,0.361,0.281,0.15,2022-10-25 07:45:38,1120,0
80,53,M,Guatemala,2021-08-15 23:14:12,49,4,52.58,0,0,632,0.273,0.01,0.382,2021-09-23 23:14:12,1516,0
81,31,F,Guatemala,2019-09-04 07:41:44,46,5,68.07,0,0,3664,0.374,0.111,0.254,2020-01-01 07:41:44,2148,1
82,48,F,México,2020-07-23 08:16:38,1,2,44.0,1,0,2298,0.156,0.032,0.077,2024-06-15 08:16:38,521,0
83,65,F,México,2021-04-26 04:05:30,0,8,50.61,0,0,527,0.2,0.337,0.225,2025-10-30 04:05:30,19,0
84,32,M,Colombia,2022-06-14 12:05:31,54,6,38.18,1,0,2791,0.38,0.275,0.527,2025-12-27 12:05:31,0,0
85,25,F,Chile,2019-03-29 03:50:20,25,6,42.32,0,0,719,0.438,0.115,0.075,2023-03-17 03:50:20,977,0
86,31,F,Chile,2022-05-29 19:08:26,94,7,49.82,0,0,1994,0.121,0.258,0.521,2027-02-27 19:08:26,0,0
87,40,M,México,2021-08-16 16:53:38,16,6,46.25,2,0,4144,0.066,0.187,0.263,2025-04-18 16:53:38,214,0
88,57,F,Guatemala,2023-10-24 15:25:00,5,7,42.29,1,0,2786,0.367,0.038,0.654,2027-03-07 15:25:00,0,0
89,38,M,Perú,2020-09-29 09:12:11,19,1,15.69,0,1,708,0.2,0.186,0.655,2024-01-12 09:12:11,676,0
90,33,M,Guatemala,2021-01-28 17:46:41,17,8,58.74,1,0,3966,0.593,0.222,0.225,2025-02-26 17:46:41,265,1
91,62,M,Perú,2020-03-12 20:44:05,21,3,42.8,1,0,1515,0.345,0.319,0.515,2024-12-30 20:44:05,323,0
92,35,M,Guatemala,2022-10-26 07:32:02,49,2,43.76,1,0,2182,0.298,0.379,0.421,2026-12-25 07:32:02,0,0
93,64,M,Perú,2022-10-20 18:28:28,31,10,52.84,0,0,4449,0.283,0.269,0.619,2024-03-03 18:28:28,625,0
94,41,M,México,2022-08-31 20:23:48,6,5,68.79,1,0,498,0.245,0.061,0.629,2024-10-12 20:23:48,402,0
95,43,F,México,2022-07-20 14:34:08,39,2,26.82,1,0,663,0.282,0.26,0.439,2024-06-03 14:34:08,533,0
96,42,F,Chile,2023-04-13 05:53:25,26,6,44.52,0,1,2353,0.479,0.121,0.314,2024-11-20 05:53:25,363,0
97,62,F,Colombia,2023-06-01 08:16:57,25,5,5.0,0,1,4930,0.273,0.24,0.431,2025-04-21 08:16:57,211,0
98,58,M,México,2019-04-22 23:55:05,34,7,61.93,1,0,1058,0.546,0.111,0.241,2020-09-22 23:55:05,1882,0
99,46,F,Colombia,2021-09-22 16:53:14,24,2,87.81,0,0,1528,0.237,0.506,0.19,2026-02-08 16:53:14,0,0
100,32,M,Chile,2021-04-07 02:41:14,18,4,72.33,0,0,3563,0.226,0.196,0.374,2025-02-17 02:41:14,274,0
101,62,F,Guatemala,2021-11-01 14:33:46,30,4,24.39,1,0,3829,0.02,0.018,0.59,2022-03-11 14:33:46,1348,0
102,18,M,Guatemala,2022-07-27 07:29:37,38,0,38.0,1,0,4851,0.262,0.266,0.202,2024-10-30 07:29:37,384,0
103,42,F,México,2020-05-05 04:25:54,7,2,53.74,0,0,4718,0.168,0.075,0.251,2020-10-06 04:25:54,1869,1
104,24,M,Guatemala,2022-04-19 01:29:19,20,0,5.0,1,1,2354,0.134,0.183,0.809,2024-12-07 01:29:19,346,0
105,26,F,Colombia,2020-05-20 17:23:05,18,3,37.04,1,0,4022,0.281,0.617,0.547,2024-09-30 17:23:05,414,0
106,41,M,Guatemala,2023-07-12 11:53:00,1,4,49.06,0,0,4246,0.512,0.021,0.83,2025-09-20 11:53:00,59,0
107,18,F,México,2022-08-10 14:11:32,53,8,35.03,0,0,4516,0.511,0.072,0.634,2026-06-30 14:11:32,0,0
108,61,M,Guatemala,2023-01-10 07:57:13,14,3,78.09,1,0,2642,0.315,0.451,0.211,2023-03-30 07:57:13,964,1
109,25,F,Colombia,2021-09-21 18:50:51,2,6,26.14,0,0,3029,0.31,0.086,0.513,2022-02-20 18:50:51,1367,0
110,41,F,Guatemala,2020-01-19 23:15:59,18,6,32.76,0,0,3250,0.413,0.109,0.318,2020-10-25 23:15:59,1849,0
111,28,F,Guatemala,2023-06-17 14:40:18,5,3,93.52,1,0,109,0.234,0.017,0.086,2025-02-19 14:40:18,272,0
112,68,M,Guatemala,2020-09-30 01:28:14,36,3,90.49,1,0,462,0.345,0.15,0.827,2025-08-17 01:28:14,93,0
113,34,M,Perú,2019-12-14 03:50:08,25,10,96.16,0,0,843,0.174,0.109,0.469,2023-12-17 03:50:08,702,1
114,25,M,Guatemala,2021-08-15 19:52:46,9,4,31.52,0,0,460,0.357,0.145,0.304,2022-06-14 19:52:46,1253,0
115,52,M,Chile,2022-05-12 05:33:54,90,5,44.63,0,0,2040,0.06,0.032,0.757,2027-01-05 05:33:54,0,0
116,52,M,Guatemala,2021-05-15 00:09:30,10,5,8.21,1,0,2839,0.393,0.143,0.351,2025-04-05 00:09:30,227,1
117,50,F,Guatemala,2022-03-25 10:11:20,24,4,31.95,0,0,2197,0.13,0.017,0.417,2024-06-25 10:11:20,511,1
118,22,M,Colombia,2019-04-14 20:11:39,48,5,63.57,0,0,356,0.219,0.006,0.396,2021-03-28 20:11:39,1696,0
119,59,F,México,2022-03-08 10:21:00,21,7,40.03,0,0,3916,0.238,0.342,0.278,2026-11-10 10:21:00,0,0
120,56,F,Perú,2021-10-05 02:09:54,97,4,80.8,0,0,1354,0.262,0.173,0.375,2022-03-18 02:09:54,1341,0
121,58,M,Perú,2022-06-28 18:45:33,55,5,51.33,1,1,1727,0.388,0.098,0.318,2026-07-18 18:45:33,0,0
122,45,F,Chile,2019-12-11 08:39:35,76,2,48.79,0,0,3376,0.114,0.424,0.31,2022-06-19 08:39:35,1248,0
123,24,M,Colombia,2021-06-01 18:24:53,13,8,27.94,0,0,3742,0.128,0.071,0.219,2024-05-08 18:24:53,559,1
124,26,M,México,2022-09-18 14:55:51,23,6,68.95,0,0,4837,0.355,0.382,0.699,2027-03-04 14:55:51,0,0
125,25,M,México,2023-03-06 22:19:14,55,9,26.58,0,0,1978,0.586,0.112,0.626,2023-08-16 22:19:14,824,0
126,29,F,Perú,2023-12-12 12:15:18,70,4,61.25,0,0,850,0.193,0.284,0.354,2027-01-21 12:15:18,0,0
127,51,M,Colombia,2020-06-17 07:28:20,86,5,51.08,0,0,3169,0.201,0.066,0.363,2024-05-23 07:28:20,544,1
128,50,M,Colombia,2019-07-06 02:24:17,63,5,60.55,0,1,2776,0.277,0.296,0.15,2019-08-05 02:24:17,2297,0
129,65,M,Guatemala,2019-04-11 01:27:41,39,10,86.28,0,0,186,0.557,0.234,0.601,2020-03-10 01:27:41,2079,1
130,40,F,Guatemala,2019-07-11 10:37:03,0,3,82.42,2,0,2646,0.553,0.212,0.441,2022-05-17 10:37:03,1281,0
131,41,M,Perú,2019-12-04 06:52:07,11,4,49.93,0,0,3529,0.425,0.068,0.432,2020-10-18 06:52:07,1857,0
132,54,F,México,2019-05-19 06:37:36,4,7,60.37,0,0,400,0.101,0.154,0.079,2019-11-23 06:37:36,2187,0
133,52,F,México,2022-06-25 14:42:52,5,8,81.67,0,0,3162,0.282,0.135,0.579,2025-04-03 14:42:52,229,0
134,61,M,Guatemala,2020-09-30 05:29:39,10,5,25.75,0,1,966,0.213,0.24,0.386,2024-08-09 05:29:39,466,0
135,57,F,Chile,2020-05-30 03:15:57,2,7,65.35,0,0,4470,0.069,0.178,0.488,2021-06-26 03:15:57,1606,0
136,39,F,Guatemala,2019-12-09 21:26:59,8,5,74.89,0,1,3696,0.249,0.059,0.786,2021-02-08 21:26:59,1743,0
137,44,M,Chile,2023-12-17 14:40:13,94,6,71.43,0,0,2701,0.46,0.126,0.083,2027-11-01 14:40:13,0,1
138,52,M,Guatemala,2021-07-29 01:08:36,11,5,77.11,0,0,4952,0.147,0.279,0.583,2026-05-11 01:08:36,0,0
139,18,M,Perú,2019-08-09 01:38:47,5,4,61.14,0,0,408,0.45,0.204,0.454,2022-07-18 01:38:47,1219,0
140,52,F,Chile,2021-04-13 21:35:41,38,10,38.3,1,1,1961,0.445,0.049,0.471,2021-10-02 21:35:41,1507,0
141,54,M,Guatemala,2021-06-07 05:12:49,52,8,15.69,0,0,2796,0.55,0.101,0.235,2023-08-23 05:12:49,818,0
142,64,F,Colombia,2020-04-21 06:16:40,11,3,89.74,0,0,2320,0.018,0.053,0.236,2022-04-11 06:16:40,1317,1
143,31,F,México,2023-05-30 20:25:12,9,2,73.34,0,0,1182,0.45,0.375,0.378,2023-06-20 20:25:12,882,0
144,20,F,Guatemala,2022-02-13 01:41:49,8,6,60.98,0,0,3405,0.194,0.04,0.522,2024-10-14 01:41:49,400,0
145,18,F,Perú,2020-05-15 14:24:03,14,4,40.07,0,0,1144,0.406,0.239,0.099,2024-09-01 14:24:03,443,0
146,22,F,México,2023-03-23 15:44:34,2,6,71.64,0,0,805,0.445,0.315,0.317,2023-09-12 15:44:34,798,1
147,43,M,México,2019-04-29 04:43:57,33,2,42.91,0,0,2015,0.119,0.15,0.336,2022-01-17 04:43:57,1401,0
148,31,M,Guatemala,2023-06-28 19:07:57,51,3,40.22,2,0,3639,0.37,0.417,0.315,2028-03-16 19:07:57,0,0
149,56,F,México,2021-10-24 02:22:39,32,6,59.44,0,0,4242,0.509,0.077,0.326,2024-01-02 02:22:39,686,0
150,44,F,Perú,2022-10-10 08:23:00,16,8,111.14,0,0,406,0.676,0.035,0.083,2022-10-10 08:23:00,1135,0
151,26,M,México,2022-04-13 14:02:39,10,3,5.0,0,0,4476,0.266,0.27,0.169,2022-07-31 14:02:39,1206,0
152,32,M,Perú,2020-06-03 22:55:15,15,6,48.6,1,0,1713,0.573,0.096,0.156,2022-07-15 22:55:15,1221,0
153,32,F,Perú,2023-06-17 09:10:52,16,7,44.6,1,0,3097,0.176,0.223,0.145,2024-02-22 09:10:52,635,0
154,43,F,Guatemala,2023-03-14 21:01:10,32,3,38.49,0,0,1641,0.286,0.077,0.5,2024-12-25 21:01:10,327,0
155,59,M,Guatemala,2019-06-15 23:47:03,78,4,73.81,1,0,1738,0.535,0.301,0.631,2020-02-17 23:47:03,2100,1
156,30,M,Perú,2023-04-09 13:36:46,2,5,87.46,0,0,3660,0.168,0.38,0.372,2026-12-01 13:36:46,0,0
157,68,F,México,2021-08-12 20:13:08,91,9,72.9,0,0,3938,0.153,0.044,0.035,2025-12-29 20:13:08,0,0
158,49,M,Guatemala,2022-10-30 20:01:34,72,4,31.19,0,0,1629,0.337,0.466,0.323,2026-03-09 20:01:34,0,0
159,56,M,México,2023-06-27 03:51:59,3,5,66.2,0,0,4530,0.203,0.049,0.26,2025-04-18 03:51:59,214,0
160,66,F,Colombia,2020-08-19 13:34:32,6,11,66.21,1,0,2598,0.395,0.101,0.617,2022-02-08 13:34:32,1379,1
161,69,F,Chile,2021-11-25 03:23:50,11,6,43.35,0,0,1038,0.141,0.424,0.055,2024-02-04 03:23:50,653,0
162,49,F,Guatemala,2023-03-06 02:13:32,24,5,50.47,0,0,4802,0.164,0.067,0.159,2025-05-31 02:13:32,171,0
163,21,M,Guatemala,2021-07-16 22:20:44,4,9,86.59,0,0,1607,0.176,0.178,0.268,2025-02-11 22:20:44,279,1
164,47,F,Perú,2022-12-27 17:49:10,6,5,5.0,0,0,4979,0.149,0.354,0.4,2024-11-25 17:49:10,358,1
165,54,M,Chile,2019-02-15 11:00:51,69,3,95.11,0,1,2095,0.422,0.161,0.13,2021-05-16 11:00:51,1647,0
166,40,F,Colombia,2023-09-24 11:13:32,3,2,35.51,0,0,2734,0.449,0.374,0.599,2023-12-08 11:13:32,711,0
167,56,F,Chile,2019-02-23 04:56:37,15,4,47.46,0,0,2605,0.319,0.234,0.457,2019-11-03 04:56:37,2207,0
168,62,M,México,2020-11-05 04:12:20,43,1,48.41,1,0,553,0.292,0.067,0.533,2023-08-23 04:12:20,818,0
169,32,M,Chile,2023-08-15 16:56:00,65,7,36.78,1,0,2341,0.395,0.158,0.23,2027-07-02 16:56:00,0,0
170,60,F,México,2023-08-02 03:00:12,12,2,31.18,0,0,2224,0.196,0.108,0.197,2027-09-10 03:00:12,0,0
171,46,F,Guatemala,2022-01-14 16:13:28,5,4,52.13,1,0,629,0.171,0.3,0.548,2023-11-25 16:13:28,724,0
172,53,M,Chile,2023-06-17 17:29:53,40,4,9.27,0,1,454,0.513,0.113,0.437,2025-08-20 17:29:53,90,0
173,30,F,México,2023-06-13 10:03:10,44,2,43.08,0,0,3637,0.278,0.402,0.625,2025-07-08 10:03:10,133,1
174,49,M,Perú,2023-04-29 22:17:51,117,6,69.21,0,1,2352,0.288,0.045,0.173,2027-06-15 22:17:51,0,0
175,24,M,México,2019-06-25 17:59:03,4,5,50.29,0,0,1250,0.098,0.126,0.457,2020-03-07 17:59:03,2082,0
176,68,F,Perú,2020-01-10 12:08:04,37,6,41.01,0,0,1282,0.081,0.04,0.416,2020-11-13 12:08:04,1831,0
177,39,M,Perú,2021-09-06 17:57:33,16,5,57.12,0,0,3146,0.089,0.094,0.226,2024-12-30 17:57:33,323,0
178,45,M,Guatemala,2023-06-28 16:37:23,73,3,83.1,1,0,83,0.306,0.321,0.355,2024-07-08 16:37:23,498,0
179,19,M,Chile,2022-03-02 06:41:33,15,4,77.36,0,0,888,0.281,0.34,0.134,2022-12-03 06:41:33,1081,0
180,59,F,México,2021-02-09 20:21:15,17,9,13.04,0,0,4908,0.147,0.456,0.423,2025-07-03 20:21:15,138,0
181,62,M,Perú,2022-09-18 20:32:32,4,5,71.32,1,0,425,0.186,0.414,0.023,2022-10-23 20:32:32,1122,0
182,23,F,México,2021-01-07 20:59:15,11,3,53.22,1,0,4180,0.23,0.167,0.368,2024-01-05 20:59:15,682,0
183,45,F,Chile,2019-02-03 10:57:33,15,4,28.22,0,0,2546,0.193,0.117,0.506,2023-12-21 10:57:33,698,0
184,45,F,México,2021-04-24 17:00:47,0,8,45.26,0,0,3151,0.352,0.036,0.459,2025-05-01 17:00:47,201,0
185,61,M,Guatemala,2022-07-13 16:51:39,17,11,46.49,0,0,2211,0.62,0.125,0.651,2023-02-13 16:51:39,1009,0
186,61,M,Guatemala,2019-07-13 08:02:01,12,5,32.45,0,1,2237,0.177,0.089,0.267,2021-05-16 08:02:01,1647,0
187,37,F,México,2020-08-22 12:48:41,48,5,75.9,0,0,2455,0.303,0.095,0.111,2022-04-13 12:48:41,1315,0
188,47,F,Chile,2019-10-22 18:16:41,3,3,91.44,0,0,1112,0.317,0.339,0.489,2024-09-14 18:16:41,430,0
189,28,M,Colombia,2020-06-18 11:00:19,42,3,35.06,0,1,1800,0.381,0.207,0.742,2020-08-20 11:00:19,1916,0
190,45,F,Colombia,2019-01-08 15:28:12,37,1,27.88,0,0,3093,0.617,0.039,0.419,2019-04-23 15:28:12,2401,0
191,42,F,México,2022-04-26 06:24:32,8,4,50.53,0,0,1272,0.071,0.266,0.267,2025-08-30 06:24:32,80,0
192,56,M,México,2019-10-26 01:03:23,2,4,76.19,0,0,678,0.31,0.119,0.217,2020-08-25 01:03:23,1911,1
193,50,F,Guatemala,2019-05-06 15:14:30,55,4,5.0,0,0,3231,0.084,0.554,0.477,2020-02-21 15:14:30,2097,0
194,18,M,Chile,2022-04-08 11:18:55,8,6,51.62,1,0,3240,0.165,0.538,0.634,2022-07-12 11:18:55,1225,0
195,44,M,Perú,2022-04-23 00:27:42,4,6,67.53,0,0,2760,0.245,0.285,0.389,2025-07-14 00:27:42,127,0
196,69,F,México,2023-04-18 22:20:44,13,2,39.34,0,0,97,0.314,0.18,0.499,2027-04-02 22:20:44,0,0
197,30,M,Guatemala,2023-04-30 04:18:01,15,5,62.93,1,0,2066,0.187,0.061,0.214,2023-06-02 04:18:01,900,0
198,58,M,Guatemala,2019-01-10 17:24:41,11,5,48.03,0,0,4250,0.12,0.096,0.68,2022-03-23 17:24:41,1336,0
199,20,M,Colombia,2021-08-19 08:14:30,112,6,68.4,0,0,3674,0.065,0.413,0.296,2024-01-23 08:14:30,665,0
200,56,F,Colombia,2023-08-15 09:39:37,63,7,80.65,0,0,1109,0.342,0.121,0.74,2024-02-17 09:39:37,640,0
201,23,F,Chile,2021-07-14 03:48:39,61,10,56.99,0,0,4740,0.463,0.637,0.302,2021-08-12 03:48:39,1559,0
202,25,F,México,2021-07-13 07:51:16,15,4,70.77,0,0,3594,0.141,0.223,0.155,2021-10-09 07:51:16,1501,0
203,44,M,Chile,2019-02-22 12:15:29,98,6,5.0,1,0,680,0.253,0.576,0.399,2020-09-03 12:15:29,1902,0
204,26,M,Colombia,2023-04-15 00:38:57,34,7,23.33,0,0,1363,0.169,0.228,0.33,2024-05-25 00:38:57,542,0
205,54,F,México,2021-05-24 20:13:07,53,3,48.46,1,0,3197,0.378,0.318,0.034,2023-02-15 20:13:07,1007,0
